EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010602614,INTERNATIONAL ANGLICAN CHURCH,% REV KENNETH ROBERTSON,PO BOX 8210,COLORADO SPGS,CO,80933-8210,6321,03,9,7000,201702,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010613580,URBAN RIVER SOCIETY INCORPORATED,% SHAWN PATER,3445 23RD ST,BOULDER,CO,80304-1947,0000,03,3,1000,201007,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,N61,
010617179,FALL RIVER COMMUNICATIONS COUNSIL,% JACI STEINER,1400 DEERWOOD DR,LONGMONT,CO,80504-8760,0000,03,3,2000,200305,1,16,000000000,1,01,202506,3,3,01,0,06,42964,66335,66335,B112,
010619311,EGERIA PARK ROPING CLUB,% SAM DILLEY,PO BOX 265,PHIPPSBURG,CO,80469-0265,0000,03,3,1000,200207,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,P60,
010624291,COLORADO 4-H FOUNDATION INC,% EMILY KILLEEN,17 N SPRUCE ST,COLORADO SPGS,CO,80905-1407,5947,03,9,2000,201308,1,15,149349000,1,01,,0,0,02,0,06,,,,,MT HERMAN 4-H GENERAL CLUB
010631470,GUNNISON VALLEY OBSERVATORY INC,% BOOKIE LOUISE,PO BOX 762,GUNNISON,CO,81230-0762,0000,03,3,1000,200209,1,15,000000000,1,01,202503,3,2,02,0,03,88889,19513,19389,A50,
010633672,THE EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY,,424 PINE ST STE 201,FORT COLLINS,CO,80524-2421,0000,03,3,1000,200311,1,15,000000000,1,01,202406,5,6,01,0,06,964796,2901357,2901357,P99,
010642365,COLORADO DRUG INVESTIGATORS ASSOCIATION,% RMHIDTA,10200 E GIRARD AVE STE C444,DENVER,CO,80231-5548,0000,03,3,2000,200403,1,16,000000000,1,01,202412,3,4,01,0,12,84373,176684,176684,B60,
010653771,FIRST KOREAN CHURCH OF COLORADO,% BONGCHAI JOUNG,13601 E ALAMEDA AVE,AURORA,CO,80012-1302,0000,03,3,1270,200210,1,10,000000000,1,01,,0,0,06,0,11,,,,X21,
010663760,ROCKY MOUNTAIN SYNCHRONIZED SWIMMING,% PAM ANTELL,PO BOX 6338,LONGMONT,CO,80501-2078,0000,03,3,1000,202208,1,15,000000000,1,01,202409,0,0,02,0,09,0,0,0,A20,
010677365,ANGEL COVERS,% KARI FILLMORE,6889 W 95TH AVE,BROOMFIELD,CO,80021-4823,0000,03,3,1000,200301,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,P60,
010683491,SPANISH BIBLE FELLOWSHIP INC,% STEPHEN GURKO,PO BOX 1043,FRISCO,CO,80443-1043,0000,03,3,8000,200208,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010686505,CHRISTIAN COMMUNITY SERVICE,% HELEN THOMPSON,PO BOX 1081,LAKE CITY,CO,81235-1081,0000,03,3,1000,200210,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P20,
010690878,REDSTONE ART FOUNDATION,% CATHERINE MONTGOMERY,303 REDSTONE BLVD,REDSTONE,CO,81623-8940,0000,03,3,2000,200301,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,A40,
010691751,CHERRY CREEK SCHOOL DISTRICT PARENT TEACHER COMMUNITY COUNCIL INC,% SAMANTHA SANDS,6070 S VERSAILLES PKWY,AURORA,CO,80015-6751,7207,03,9,1000,199311,1,16,035000000,1,01,202506,0,0,02,0,06,0,0,0,,CANYON CREEK ELEMENTARY PTO
010705471,NORWOOD FOUNDATION,% DAVID D JENKINS,111 S TEJON ST STE 222,COLORADO SPGS,CO,80903-2246,0000,03,3,1000,200206,1,04,000000000,1,01,202412,9,8,00,1,12,82614788,33126597,,T22,
010724380,CHRISTIANS IN CABLE INC,% JAMES DICKSON,10184 WOODROSE LN,HGHLNDS RANCH,CO,80129-5408,0000,03,3,7100,200305,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
010724451,ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC,% LANCE LUCKETT,PO BOX 10931,ASPEN,CO,81612-9720,0000,03,3,1000,200209,1,17,000000000,1,01,202410,8,6,01,0,10,13326718,3696209,919119,C113,
010726882,CAMBODIAN CHRISTIAN ARTS MINISTRY INC,% GIOIA MICHELOTTI,PO BOX 2918,LOVELAND,CO,80539-2918,0000,03,3,1000,200301,1,15,000000000,1,01,202412,1,3,02,0,12,5140,40666,40666,X99,
010737587,ALPHA PHI INTERNATIONAL FRATERNITY INC,,1985 S JOSEPHINE ST,DENVER,CO,80210-4207,1038,07,9,1000,194902,2,00,036319040,5,01,202506,0,0,02,0,06,0,0,0,,WICHITA FALLS ALUMNAE
010744024,ARABIAN HORSE ASSOCIATION,,6030 GREENWOOD PLAZA BLVD STE 100,GREENWOOD VLG,CO,80111-4825,0000,05,3,1000,200301,0,00,000000000,1,01,202503,7,8,01,0,03,9932698,10503696,10503696,,
010744459,HERITAGE OF PRAISE FELLOWSHIP,% MARK HENSLEE,PO BOX 298,FOUNTAIN,CO,80817-0298,0000,03,3,7200,200409,1,10,000000000,1,01,,0,0,06,0,09,,,,X21,
010745483,DOROTHYS SOFT TOUCH CORP,% CHINYERE HILL,1139 TUCSON ST,AURORA,CO,80011-6424,0000,03,3,1000,200609,1,15,000000000,1,01,202412,2,6,01,0,12,18881,1078314,1078314,B99,
010759072,NANCY L NIXON FOUNDATION,% MARILYN MAPLES,9787 W ROXBURY PL,LITTLETON,CO,80128-4135,0000,03,3,1000,200306,1,04,000000000,1,01,202406,5,3,00,1,06,562955,35474,,T22,
010772839,HOMES OF HOPE INC,,36300 COUNTY ROAD Z,WRAY,CO,80758-9720,0000,03,3,1200,200605,1,15,000000000,1,01,202412,3,4,01,0,12,79783,113929,113929,P45,
010783591,FATHERS SHOW RESOURCE PROGRAM,% FATHERS SHOW RESOURCE PROGRAM,4860 CHAMBERS RD 108,DENVER,CO,80239-5152,0000,03,3,1200,200407,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P40,
010785524,WORLD HISTORY CONNECTED THE JOURNAL OF LEARNING AND TEACHING,% HEIDI ROUPP,PO BOX 6272,SNOWMASS VLG,CO,81615-6272,0000,03,3,2000,200312,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,A33,
010790158,TEAMS IN ACTION,% GARY OSTWALD,2525 S DAYTON WAY APT 1707,DENVER,CO,80231-3916,0000,03,3,1200,201607,1,16,000000000,1,01,202412,2,3,01,0,12,16949,81421,81421,W70,LEADING IN COMMUNITY
010797012,MEAN STREET MINISTRY,% JAMES FRY,1530 ROUTT ST,LAKEWOOD,CO,80215-2606,0000,03,3,1000,200706,1,15,000000000,1,01,202412,4,5,01,0,12,497443,851503,851503,T50,
010803956,SHEPHERDS HEART MINISTRY,% LARRY J RUSSELL,PO BOX 4808,PARKER,CO,80134-1454,0000,03,3,7000,200504,1,15,000000000,1,01,202412,4,5,01,0,12,302487,505416,478192,X20,
010805994,PONDEROSA ICE HOCKEY CLUB,% MS JENNIFER C NOLAN,13536 ROSE RIDGE RD,PARKER,CO,80138-8515,0000,07,3,1000,201603,2,00,000000000,1,01,202508,0,0,02,0,08,0,0,0,N60,
010814316,SILVER CREEK ORGANIZATION FOR PERFORMING ARTS,% TREASURER,4901 NELSON RD,LONGMONT,CO,80503-6001,0000,03,3,1200,200601,1,16,000000000,1,01,202507,3,4,01,0,07,89961,267227,119502,A60,
010831698,JEWISHCOLORADO,% THE ORGANIZATION,300 S DAHLIA STREET,DENVER,CO,80246-8118,0000,03,3,1000,200605,1,15,000000000,1,01,202506,9,8,01,0,06,84282689,26190918,18638529,T31,
010832860,COLORADO AMBASSADORS OF GOSPEL MINISTRIES,% MAURICE THOMPSON,PO BOX 3571,GREENWOOD VLG,CO,80155-3571,0000,03,3,7000,200505,1,10,000000000,1,01,202012,1,0,06,0,12,1,0,0,X20,
010838761,DENVER SENEGAL HUMANITARIAN FOUNDATION,% JULIE A LACHANCE,PO BOX 271043,LITTLETON,CO,80127-0018,0000,03,3,1000,200708,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,,DSHF
010840239,NAVAL ORDER OF THE UNITED STATES FOUNDATION,% KENNETH E ARENDT,7847 INCA RD,LARKSPUR,CO,80118-8439,0000,03,3,1000,200508,1,15,000000000,0,01,202509,4,3,02,0,09,226520,32050,32050,W193,
010842036,LUTHERAN FAMILY SERVICES OF COLORADO FOUNDATION INC,% JAMES BARCLAY,1035 OSAGE ST STE 700,DENVER,CO,80204-4209,0000,03,3,1700,200709,1,17,000000000,1,01,202406,6,6,01,0,06,3243833,1164374,63054,X112,
010842427,IGLESIA DE CRISTO ELIM LAFAYETTE,% SANTOS VARGAS,PO BOX 158,LAFAYETTE,CO,80026-0158,0000,03,3,7000,200703,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010857259,UPPER ARKANSAS REGIONAL SERVICE COUNCIL,% JUDITH E LOHNES,3224 INDEPENDENCE RD UNIT A,CANON CITY,CO,81212-6314,0000,03,3,2100,200703,1,15,000000000,1,01,202212,1,1,02,0,12,750,590,590,P20,
010859843,NATIONAL MUSEUM OF WORLD WAR II AVIATION INC,% WILLIAM R KLAERS,755 AVIATION WAY,COLORADO SPGS,CO,80916-2740,0000,03,3,2100,200805,1,16,000000000,1,01,202412,8,6,01,0,12,11005621,2309835,2197871,A50,
010869244,LA ROCA ETERNA,% SILVESTRE RANGEL,506 11TH AVE,LONGMONT,CO,80501-4324,0000,03,3,7000,202205,1,10,000000000,1,01,202312,1,2,06,0,12,568,21311,21311,X20,
010884285,CATS LEAGUE AND ASSISTANCE OF THE WESTERN SLOPE,% VALERIE MAZRIN,569 SOUTH WESTGATE DRIVE,GRAND JUNCTION,CO,81505-6934,0000,03,3,1000,200704,1,15,000000000,1,01,202412,5,4,01,0,12,695590,345031,345031,D20,
010887807,WHOLE TRUTH CHURCH MINISTRIES,,12995 E 2ND AVE,AURORA,CO,80011-8413,0000,03,3,7000,201008,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010888479,COLORADO FALL CHARITY HORSE SHOW INC,% ANNE BURTON,560 WEST ST,LOUISVILLE,CO,80027-2077,0000,03,3,1000,200708,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,P12,
010891649,COLORADO JAPANESE SCHOOL,% MARI TAKEDA,6855 S HAVANA ST STE 320,CENTENNIAL,CO,80112-3814,0000,03,3,2100,201010,1,11,000000000,1,01,202503,4,4,01,0,03,107108,211692,211692,B20,
010892003,ENDERTA REGIONAL DEVELOPMENT ASSOCIATION NONPROFIT,,PO BOX 111706,AURORA,CO,80042-1706,0000,03,3,1000,201402,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,B90,
010910817,ASSOCIATION OF AMERICAN EDUCATORS,,9800 MT PYRAMID CT STE 400,ENGLEWOOD,CO,80112-2669,4236,06,9,1000,200310,2,00,000000000,1,01,,0,0,02,0,12,,,,S41,PROFESSIONAL ASSOC OF COLORADO EDUC
010918841,CANYON CARES OF COAL CREEK CANYON,% CHARLES BERGINC,PO BOX 7392,GOLDEN,CO,80403-0103,0000,03,3,1000,200904,1,16,000000000,1,01,202512,4,4,01,0,12,233054,206294,206294,P122,
010930202,KNIGHTS OF COLUMBUS,% DAVID F JOHNSON,3635 JUBILANT PL,COLORADO SPGS,CO,80917-2555,0188,08,9,1000,194010,1,00,036029265,5,01,202412,0,0,02,0,12,0,0,0,,14715 OUR LADY QUEEN OF PEACE
010931908,THE COLUMBINE HIGH SCHOOL ACADEMIC FOUNDATION,% MELONDIE KEANEY,6201 S PIERCE ST,LITTLETON,CO,80123-3636,0000,03,3,2000,201009,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,,THE FRANK DEANGELIS COLUMBINE HIGH
010932393,CHRIST THE KING RADIO MINISTRIES,% MICHAEL VAN LOWE,1801 W 92ND AVE LOT 104,FEDERAL HGTS,CO,80260-5323,0000,03,3,1700,201406,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X99,
010934525,ADVENTURE WITH A PURPOSE,% RONALD L WEIDE,15 E ESPANOLA ST,COLORADO SPGS,CO,80907-7426,0000,03,3,1700,201005,1,15,000000000,1,01,202412,3,4,01,0,12,46622,119723,119723,X99,RON WEIDE SOLE MBR
010936860,COLUMBINE GARDEN CLUB,,PO BOX 1030,IDAHO SPRINGS,CO,80452-1030,0000,03,3,1200,202010,1,16,000000000,1,01,202505,0,0,02,0,05,0,0,0,S20,
010937060,BOULDER CYCLING CLUB,% DONALD CICCHILLO,4134 AMBER ST,BOULDER,CO,80304-0956,0000,07,3,1000,201101,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,N60,
010944892,AGORA ASSEMBLY,% DATHAN C JONES,PO BOX 4754,GREENWOOD VLG,CO,80155-4754,0000,03,3,7000,201102,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,DATHAN JONES
010945462,COLORADO ADVISORY COUNCIL ON MILTARY EDUCATION,% DANA ROCHA,PO BOX 292,MONUMENT,CO,80132-0292,0000,03,3,1200,201808,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,W30,
010951001,ALPHA PHI INTERNATIONAL FRATERNITY INC,% SORORITY SOLUTIONS,1985 S JOSEPHINE ST,DENVER,CO,80210-4207,1038,07,9,1000,196808,2,00,000000000,5,01,202506,4,4,01,0,06,168135,420637,420637,,CHI CHAPTER
010959251,HI MOM I AM HOME AGENCY,% CLEAREATHA HARRIS,2600 S PARKER RDBLDG 2 SUITE 226,AURORA,CO,80014-0000,0000,03,3,1000,201504,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P30,
010960475,WESTERN STATES BAPTIST CONVENTIONS,% PASTOR FRANK DAVIS,933 E 24TH AVE,DENVER,CO,80205-5114,0000,03,3,7000,201207,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010964534,GOOD NEWS INC,% SABINA JOSEPH,4798 S ROUTT CT,LITTLETON,CO,80127-1087,0000,03,3,1700,201407,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P12,
010966201,STERLING MIRACLE PLAYERS,% DANA MAY,117 HIGHLAND DR,STERLING,CO,80751-8666,0000,03,3,1230,202405,1,16,000000000,1,01,,0,0,02,0,12,,,,A65,
010967873,VILLAGE HEALTH PARTNERSHIP,% MARGARET MULDROW,1011 SOUTH VALENTIA,DENVER,CO,80247-6812,0000,03,3,1000,201310,1,15,000000000,1,01,202412,5,4,01,0,12,658601,425650,375862,E40,
010970777,COLORADO SPRINGS CHI ALPHA CHRISTIAN FELLOWSHIP,% BRAD NOVOSAD,5352 STATUTE DR,COLORADO SPGS,CO,80922-2368,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,COLORADO COLLEGE
010974517,VALLECITO CONSERVATION AND SPORTING ASSOCIATION,% JAMES SCHANK,PO BOX 948,BAYFIELD,CO,81122-0948,0000,04,3,3000,201611,2,00,000000000,1,01,202412,4,5,01,0,12,368812,617865,575690,N67,
010976638,ALLIANCE,% KYLIE KAMPBELL,1410 N GRANT ST STE B305,DENVER,CO,80203-1855,0000,03,3,1000,201109,1,16,000000000,1,01,202506,5,6,01,0,06,513395,1039246,1039246,P99,
016018552,ALPHA PHI INTERNATIONAL FRATERNITY INC,% SORORITY SOLUTIONS,1985 S JOSEPHINE ST,DENVER,CO,80210-4207,1038,07,9,1000,196712,2,00,036319040,5,01,202506,0,0,02,0,06,0,0,0,,DELTA NU CHAPTER - UNIV OF MAINE
020106853,M M & M FOUNDATION,,49450 ROUTE COUNTY ROAD 129,STEAMBOAT SPRINGS,CO,80487-0000,0000,03,3,1000,200405,1,04,000000000,1,01,202411,4,1,00,1,11,248431,7014,,T20,
020373379,HEARTWOOD COLLEGE OF ART INC,,1340 US HIGHWAY 287 STE 100,BROOMFIELD,CO,80020-2224,0000,03,3,1000,198404,1,11,046032000,1,01,202306,0,0,02,0,06,0,0,0,A250,
020395029,ALPHA PHI INTERNATIONAL FRATERNITY INC,% SORORITY SOLUTIONS,1985 S JOSEPHINE ST,DENVER,CO,80210-4207,1038,07,9,1000,196808,0,00,040319000,5,01,202506,4,5,01,0,06,180858,959449,959449,,ETA ALPHA UNIV OF NEW HAMPSHIRE
020491137,BRIAH DANSE,,10305 W ILIFF AVE,LAKEWOOD,CO,80227-2022,0000,03,3,1000,201907,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,A62,BRIAH DANSE COMPANY
020492240,ENKI EDUCATION INCORPORATED,% BLAKE SUTTON,PO BOX 2511,LYONS,CO,80540-2511,0000,03,3,1000,199704,1,16,995030000,1,01,202412,1,3,02,0,12,1447,65440,0,B99,
020530982,UNITARIAN UNIVERSALIST MNISTRY FOR EARTH,% LAUREN LEVWOOD,4101 E HAMPDEN AVE,DENVER,CO,80222-7262,0000,03,3,1270,200207,1,16,000000000,1,01,202506,4,3,01,0,06,114787,83739,83739,P99,
020533922,COLORADO VIPER CLUB,% JIM JOHNSON PRESIDENT,11661 ANTLER TRL,LITTLETON,CO,80127-9741,0000,07,3,1000,200210,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,N50,
020534025,CROWN OF LIFE LUTHERAN CHURCH,% REV DAVID WIETZKE,145 S ABARR DR,PUEBLO WEST,CO,81007-0000,1773,03,9,7000,196601,1,10,001000000,5,01,,0,0,06,0,06,,,,X21,5146
020552091,EATON FAMILY FOUNDATION,% CHRISTOPHER K EATON,7 BLUE GROUSE RIDGE RD,LITTLETON,CO,80127-5704,0000,03,3,1000,200306,1,04,000000000,1,01,202412,6,6,00,1,12,3092279,1091678,,T20,
020565600,SUMMITWEST CARE,% CHARLEEN RAAUM CEO,2800 PRINTERS WAY STE 200,GRAND JUNCTION,CO,81506-3944,0000,03,3,1000,200306,1,15,000000000,1,01,202412,7,7,01,0,12,5012482,7247649,7247649,E92,
020574648,IGLESIA VIDA NUEVA,% DANIEL J NELSON,1800 E 105TH PL,NORTHGLENN,CO,80233-4274,2269,03,9,7000,197204,0,10,001059349,5,01,,0,0,06,0,12,,,,,
020577580,COLORADO 4-H FOUNDATION INC,% KIM VERNON,344 US-84,PAGOSA SPRINGS,CO,81147-0000,5947,03,9,2000,201308,1,15,149349000,1,01,202206,0,0,02,0,06,0,0,0,,ARCHULETA COUNTY 4-H COUNCIL
020585008,GALILEE SOUTH COMMUNITY CHURCH,% TREASURER,6114 S DATURA ST,LITTLETON,CO,80120-2638,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020592604,HIGH PLAINS LAND CONSERVANCY,% ALVIN R WALL,PO BOX 305,HOLYOKE,CO,80734-0305,0000,03,3,1000,200310,1,15,000000000,1,01,202412,6,5,01,0,12,1883119,579608,579608,,
020596984,PTA COLORADO CONGRESS,% KATHY C BARNES,5987 W DORADO DR,LITTLETON,CO,80123-6314,0965,03,9,2000,194611,1,16,059035000,5,01,202505,0,0,02,0,05,0,0,0,,BLUE HERON ELEMENTARY SCHOOL
020617918,DESIGN-BUILD INSTITUTE OF AMERICA,% DENNIS ASHLEY,3773 CHERRY CREEK N DR RM/STE 575,DENVER,CO,80209-0000,3685,06,9,1000,200011,0,00,000000000,5,01,202412,3,4,01,0,12,79005,233746,233746,,ROCKY MOUNTAIN REGION
020628872,ARRUPE JESUIT HIGH SCHOOL,,4343 UTICA ST,DENVER,CO,80212-2435,0928,03,9,1000,194603,1,10,000000000,5,01,202306,0,0,06,0,06,,,,,
020633428,HAINLINE FAMILY FOUNDATION INC,% CAROLYN THORNE II,6723 SNEAD CT,LONGMONT,CO,80503-8342,0000,03,3,1000,200209,1,04,000000000,1,01,202412,1,1,00,1,12,6589,308,,T22,
020655254,DUBLIN MANOR INC,% STEVE SPEARS,1600 BROADWAY STE 2000,DENVER,CO,80202-4929,0000,03,3,1000,201212,1,16,031150120,1,01,202412,6,4,01,0,12,1664911,320209,320209,,
020657688,COLORADO AGRICULTURAL LEADERSHIP FOUNDATION INC,% LARRY CARNAHAN,PO BOX 581,CASTLE ROCK,CO,80104-0581,0000,03,3,1000,200304,1,15,000000000,1,01,202412,6,4,01,0,12,2686137,488802,435088,B99,
020664810,PAROLE EMPLOYEE COUNCIL,% ROBYN HAWKINS,940 BROADWAY,DENVER,CO,80205-0000,0000,04,3,3000,201108,2,00,000000000,5,01,202306,0,0,02,0,06,0,0,0,S80,
020666382,4 THE CHILDREN,% ASHLEY HEIN,129 COUNTY ROAD 250,DURANGO,CO,81301-8530,0000,03,3,1000,201205,1,15,000000000,1,01,202506,4,4,01,0,06,120843,175345,172333,I80,
020666676,HARVEST FELLOWSHIP CHURCH,% STEVE BLACKWELL,14951 E 112TH AVE,BRIGHTON,CO,80603-6900,0000,03,3,1000,200405,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020673362,L4325 RED WHITE & BLUE CAREER FIRE FIGHTER ASSOCIATION,% DANIEL FELT,PO BOX 710,BRECKENRIDGE,CO,80424-0701,0160,05,9,3000,195903,2,00,263000000,5,01,202509,0,0,02,0,09,0,0,0,,INTERNATIONAL ASSOCIATION OF FIRE
020673474,DEVELOPMENTAL FX-THE DEVELOPMENTAL & FRAGILE X RESOURCE CENTRE,,3615 E MARTIN LUTHER KING JR BLVD,DENVER,CO,80205-4976,0000,03,3,1000,200309,1,16,000000000,1,01,202509,6,6,01,0,09,1765631,2086354,2037683,G80,
020676252,TRANSITIONAL LIFE CARE INC,% DIANE MADDEN,1620 68TH AVE,GREELEY,CO,80634-8656,0000,03,3,1000,202304,1,15,000000000,1,01,202509,0,0,02,0,09,0,0,0,P20,
020676746,SOUTHERN COLORADO RETAC INC,% THERESA JIMISON,PO BOX 9271,PUEBLO,CO,81008-9271,0000,03,3,1000,200312,1,15,000000000,1,01,202506,4,4,01,0,06,229338,284058,284058,E02,
020678151,XI PI CHAPTER-OMEGA PSI PHI FRATERNITY UPLIFT FOUNDATION INC,% WALTER GLOVER,4219 STAR RANCH RD,COLORADO SPGS,CO,80906-8634,0000,03,3,1000,200304,1,15,000000000,1,01,202412,3,4,01,0,12,98343,106828,74475,B82,
020680029,CONSTRUCTION MANAGEMENT ASSOCIATION OF AMERICA INC,% MIKE BROWN,4600 S ULSTER ST STE 1100,DENVER,CO,80237-2875,5235,06,9,1000,199510,2,00,205000000,1,01,202512,0,0,02,0,12,0,0,0,S41,CMAA COLORADO CHAPTER
020688420,FLAGSTAFF ACADEMY INC,,2040 MILLER DR,LONGMONT,CO,80501-6748,0000,03,3,2000,201407,1,11,000000000,1,01,202506,8,8,01,0,06,18444552,11275990,11275990,B29,
020690914,CROSS CHURCH OF LOVELAND,,6312 BURGUNDY ST,EVANS,CO,80634-8921,0000,03,3,7000,200812,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,
020693064,NATIONAL CHARITY LEAGUE COLORADO FOOTHILLS CHAPTER,% ROSEMARIE FEARRIN,PO BOX 3096,EVERGREEN,CO,80437-3096,0000,03,3,1000,200505,1,16,000000000,1,01,202505,0,0,02,0,05,0,0,0,T50,
020700384,GRASSROOTS ASIA,% DEBRA PENNINGTON,PO BOX 560,SOMERSET,CO,81434-0560,0000,03,3,1000,200311,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,Q33,GRASSROOTS GIVING
020703033,C B AVALANCHE CENTER INC,% ZACH GUI,PO BOX 2351,CRESTED BUTTE,CO,81224-2351,0000,03,3,1000,200312,1,15,000000000,1,01,202505,4,4,01,0,05,254370,321760,300433,M20,
020711708,PROSPECT VALLEY HOSPITALITY INC,% ESTATE OF KIMARY A MARCHESE,8438 S UPHAM WAY,LITTLETON,CO,80128-6361,0000,03,3,1000,201408,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,T19,
020715377,RIVER OF GRACE BAPTIST CHURCH,% JIM PAYNE,84 S MASTERS DRIVE,PUEBLO WEST,CO,81007-5600,0000,03,3,1000,200406,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020720405,CITIZENS POLICE ACADEMY ALUMNI ASSOCIATION OF NORTHGLENN INC,% STEPHEN C AUSTIN,50 W COMMUNITY CENTER DR,NORTHGLENN,CO,80234-3308,0000,03,3,2000,201303,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,I20,C P A A A N
020732220,COLORADO ALLIANCE FOR HEALTH EQUITY AND PRACTICE,% ALOK SARWAL,5250 LEETSDALE DR STE 110,DENVER,CO,80246-1450,0000,03,3,2100,200505,1,15,000000000,1,01,202312,6,6,01,0,12,1755295,1041620,1118982,E70,
